File	Sorted	Length	CER	CER(sorted)	1-cos	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10
00439030.xml	false	1310	0.415	0.375	0.119	0.212	0.376	0.532	0.648	0.728	0.786	0.828	0.86	0.887	0.906
00439034.xml	true	2041	0.156	0.156	0.047	0.089	0.172	0.255	0.331	0.398	0.456	0.511	0.561	0.604	0.644
00439353.xml	true	2024	0.15	0.15	0.039	0.085	0.168	0.252	0.329	0.392	0.448	0.496	0.54	0.579	0.616
00439390.xml	true	2035	0.174	0.174	0.046	0.089	0.186	0.287	0.372	0.446	0.51	0.563	0.61	0.653	0.691
00439335.xml	true	1996	0.206	0.206	0.046	0.09	0.203	0.32	0.413	0.484	0.543	0.594	0.639	0.681	0.721
00439214.xml	true	2004	0.758	0.758	0.235	0.375	0.624	0.782	0.86	0.906	0.934	0.954	0.968	0.977	0.985
00439231.xml	true	1957	0.16	0.16	0.045	0.089	0.172	0.263	0.342	0.408	0.467	0.519	0.567	0.613	0.656
00439092.xml	true	2098	0.159	0.159	0.041	0.087	0.176	0.26	0.334	0.396	0.452	0.504	0.55	0.592	0.631
00439309.xml	true	2005	0.148	0.148	0.042	0.083	0.159	0.239	0.309	0.373	0.425	0.475	0.519	0.559	0.596
00439082.xml	false	1702	0.145	0.146	0.041	0.078	0.16	0.237	0.308	0.366	0.417	0.465	0.508	0.548	0.585
00439129.xml	true	2084	0.309	0.309	0.046	0.091	0.176	0.264	0.341	0.409	0.469	0.524	0.573	0.619	0.661
00439195.xml	true	1994	0.428	0.428	0.046	0.101	0.2	0.314	0.41	0.488	0.549	0.601	0.645	0.687	0.725
00439241.xml	true	1995	0.159	0.159	0.047	0.09	0.173	0.266	0.344	0.411	0.47	0.526	0.572	0.614	0.651
00439025.xml	true	856	0.429	0.429	0.122	0.195	0.383	0.521	0.613	0.677	0.729	0.77	0.804	0.834	0.859
00439212.xml	true	2054	0.199	0.199	0.052	0.097	0.205	0.317	0.416	0.494	0.562	0.622	0.675	0.722	0.763
00439160.xml	true	1939	0.233	0.233	0.075	0.133	0.27	0.392	0.486	0.555	0.614	0.664	0.706	0.741	0.772
00439126.xml	true	2062	0.159	0.159	0.042	0.092	0.183	0.282	0.368	0.441	0.502	0.554	0.601	0.643	0.683
00439296.xml	true	1966	0.185	0.185	0.044	0.092	0.191	0.285	0.363	0.425	0.479	0.525	0.566	0.602	0.635
00439109.xml	true	2102	0.126	0.126	0.038	0.076	0.149	0.218	0.281	0.336	0.383	0.426	0.467	0.505	0.539
00439237.xml	true	1937	0.157	0.157	0.042	0.09	0.176	0.264	0.338	0.404	0.463	0.513	0.56	0.601	0.638
00439152.xml	true	2062	0.18	0.18	0.04	0.086	0.191	0.3	0.389	0.458	0.519	0.572	0.62	0.662	0.699
00439406.xml	true	2010	0.191	0.191	0.048	0.097	0.203	0.303	0.388	0.459	0.519	0.572	0.617	0.658	0.696
00439134.xml	true	1988	0.169	0.169	0.043	0.086	0.173	0.268	0.354	0.423	0.485	0.539	0.589	0.632	0.668
00439140.xml	true	2072	0.169	0.169	0.044	0.083	0.181	0.288	0.379	0.452	0.513	0.562	0.606	0.645	0.681
00439314.xml	true	2001	0.181	0.181	0.048	0.09	0.183	0.283	0.363	0.433	0.496	0.549	0.6	0.648	0.691
00439147.xml	true	2046	0.141	0.141	0.051	0.086	0.169	0.244	0.311	0.371	0.424	0.473	0.514	0.552	0.585
00439094.xml	false	1753	0.155	0.155	0.039	0.08	0.162	0.238	0.303	0.358	0.407	0.451	0.491	0.529	0.565
00439359.xml	true	2014	0.182	0.182	0.047	0.097	0.199	0.301	0.385	0.455	0.52	0.576	0.625	0.669	0.709
00439334.xml	true	2020	0.349	0.349	0.076	0.16	0.329	0.468	0.574	0.651	0.712	0.76	0.802	0.835	0.864
00439293.xml	true	1984	0.244	0.244	0.062	0.124	0.258	0.389	0.495	0.582	0.654	0.709	0.753	0.791	0.822
00439412.xml	true	2056	0.149	0.149	0.044	0.084	0.173	0.262	0.336	0.401	0.456	0.505	0.549	0.587	0.623
00439202.xml	true	2004	0.158	0.158	0.046	0.089	0.178	0.274	0.349	0.414	0.47	0.523	0.569	0.61	0.649
00439242.xml	true	2063	0.182	0.182	0.048	0.099	0.207	0.31	0.394	0.465	0.529	0.584	0.634	0.679	0.721
00439247.xml	true	2028	0.272	0.272	0.061	0.119	0.271	0.414	0.526	0.614	0.683	0.734	0.778	0.812	0.841
00439295.xml	true	1928	0.182	0.182	0.046	0.091	0.191	0.298	0.386	0.459	0.522	0.575	0.624	0.668	0.704
00439089.xml	true	2072	0.136	0.136	0.031	0.07	0.147	0.227	0.292	0.346	0.392	0.436	0.477	0.515	0.551
00439227.xml	true	1998	0.171	0.171	0.054	0.097	0.191	0.285	0.365	0.43	0.488	0.544	0.59	0.632	0.671
00439370.xml	true	2051	0.211	0.211	0.061	0.103	0.237	0.357	0.453	0.531	0.594	0.645	0.691	0.732	0.767
00439419.xml	true	2051	0.13	0.13	0.034	0.07	0.15	0.223	0.288	0.347	0.399	0.443	0.484	0.523	0.558
00439091.xml	true	2025	0.146	0.146	0.038	0.09	0.17	0.257	0.332	0.396	0.453	0.502	0.546	0.586	0.624
00439066.xml	true	2065	0.156	0.156	0.036	0.082	0.182	0.271	0.342	0.405	0.462	0.512	0.557	0.598	0.635
00439106.xml	true	2078	0.135	0.135	0.036	0.079	0.147	0.217	0.282	0.338	0.389	0.435	0.478	0.516	0.552
00439040.xml	true	2084	0.146	0.146	0.044	0.078	0.163	0.248	0.323	0.387	0.446	0.498	0.544	0.587	0.627
00439258.xml	true	1967	0.294	0.294	0.081	0.147	0.307	0.463	0.581	0.669	0.739	0.792	0.835	0.868	0.896
00439197.xml	false	1621	0.195	0.195	0.047	0.095	0.196	0.302	0.389	0.459	0.523	0.579	0.628	0.673	0.714
00439276.xml	true	1888	0.229	0.229	0.054	0.1	0.231	0.346	0.437	0.51	0.576	0.629	0.673	0.712	0.746
00439330.xml	true	2036	0.156	0.156	0.045	0.085	0.172	0.263	0.342	0.411	0.472	0.526	0.573	0.618	0.658
00439033.xml	true	2050	0.147	0.147	0.037	0.073	0.158	0.24	0.313	0.375	0.429	0.478	0.522	0.561	0.598
00439235.xml	true	1991	0.151	0.151	0.035	0.075	0.162	0.254	0.329	0.392	0.447	0.496	0.538	0.576	0.611
00439426.xml	false	1176	0.555	0.372	0.123	0.182	0.347	0.498	0.605	0.682	0.744	0.789	0.825	0.857	0.883
00439403.xml	true	1992	0.152	0.152	0.032	0.075	0.162	0.252	0.328	0.386	0.439	0.486	0.529	0.569	0.605
00439173.xml	true	1996	0.273	0.273	0.056	0.121	0.262	0.399	0.507	0.59	0.657	0.71	0.751	0.787	0.819
00439394.xml	false	1826	0.18	0.181	0.039	0.084	0.196	0.297	0.379	0.444	0.499	0.548	0.594	0.632	0.669
00439133.xml	false	2047	0.145	0.145	0.038	0.081	0.166	0.249	0.323	0.388	0.442	0.491	0.536	0.579	0.618
00439155.xml	true	1973	0.134	0.134	0.034	0.076	0.148	0.224	0.293	0.353	0.408	0.46	0.506	0.544	0.579
00439186.xml	true	1997	0.285	0.285	0.059	0.119	0.273	0.435	0.544	0.619	0.68	0.733	0.775	0.81	0.839
00439327.xml	true	1952	0.303	0.303	0.059	0.148	0.292	0.443	0.541	0.611	0.663	0.71	0.75	0.785	0.814
00439188.xml	true	1990	0.24	0.24	0.039	0.083	0.181	0.29	0.385	0.457	0.517	0.571	0.619	0.663	0.702
00439319.xml	true	1924	0.288	0.288	0.048	0.097	0.187	0.28	0.355	0.426	0.489	0.544	0.592	0.633	0.671
00439098.xml	true	2061	0.142	0.142	0.041	0.083	0.16	0.235	0.306	0.367	0.422	0.472	0.518	0.558	0.597
00439270.xml	true	1986	0.179	0.179	0.039	0.087	0.172	0.262	0.338	0.406	0.465	0.517	0.564	0.605	0.64
00439120.xml	true	2020	0.166	0.166	0.049	0.096	0.186	0.282	0.365	0.435	0.497	0.552	0.603	0.648	0.688
00439395.xml	true	2044	0.165	0.165	0.039	0.091	0.181	0.265	0.335	0.396	0.451	0.499	0.543	0.584	0.62
00439362.xml	true	2038	0.374	0.374	0.109	0.198	0.378	0.533	0.638	0.711	0.764	0.81	0.845	0.875	0.9
00439204.xml	true	1985	0.172	0.172	0.044	0.091	0.185	0.275	0.356	0.42	0.475	0.524	0.567	0.605	0.64
00439262.xml	true	2001	0.181	0.181	0.049	0.089	0.195	0.292	0.376	0.445	0.506	0.561	0.608	0.651	0.69
00439026.xml	false	1144	0.285	0.143	0.056	0.081	0.166	0.247	0.311	0.372	0.43	0.483	0.531	0.575	0.616
00439056.xml	true	2069	0.113	0.113	0.031	0.061	0.131	0.19	0.247	0.3	0.351	0.398	0.442	0.485	0.525
00439378.xml	true	2038	0.308	0.308	0.079	0.15	0.293	0.438	0.544	0.62	0.678	0.729	0.77	0.803	0.834
00439240.xml	true	1979	0.142	0.142	0.038	0.082	0.162	0.245	0.316	0.375	0.432	0.483	0.528	0.57	0.61
00439043.xml	true	1984	0.137	0.137	0.04	0.076	0.156	0.233	0.298	0.362	0.418	0.467	0.512	0.55	0.585
00439361.xml	true	2027	0.248	0.248	0.059	0.111	0.241	0.364	0.468	0.552	0.619	0.674	0.725	0.768	0.803
00439301.xml	true	1855	0.154	0.154	0.045	0.087	0.163	0.258	0.335	0.401	0.459	0.513	0.563	0.609	0.651
